2018-07-01T04:14:50.848Z - info: Pages built
2018-07-01T04:14:50.891Z - info: Site data built
2018-07-01T04:14:50.904Z - info: Generate Site durationMs=43148
2018-07-01T04:14:50.933Z - info: Serving "C:\repos\nus-cs2103\website-base\_site" at http://127.0.0.1:8080
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testAutomation\testingTextUis\text.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\what\text.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\path.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\repositories\text.md
2018-07-01T05:19:47.295Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\init\text.md
2018-07-01T05:19:47.299Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\path.md
2018-07-01T05:19:47.299Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\savingHistory\text.md
2018-07-01T05:19:47.299Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\text.md
2018-07-01T05:19:47.299Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\ignore\text.md
2018-07-01T05:19:47.299Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\todo.md
2018-07-01T05:19:47.299Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\modeling\modelingStructures\deploymentDiagrams\text.md
2018-07-01T05:19:47.299Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\modeling\modelingStructures\path.md
2018-07-01T05:19:47.299Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\modeling\modelingStructures\componentDiagrams\text.md
2018-07-01T05:19:47.299Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\modeling\modelingStructures\packageDiagrams\text.md
2018-07-01T05:19:47.303Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\modeling\modelingStructures\compositeStructureDiagrams\text.md
2018-07-01T05:19:47.303Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\modeling\modelingBehaviors\timingDiagrams\text.md
2018-07-01T05:19:47.303Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\modeling\modelingBehaviors\path.md
2018-07-01T05:19:47.303Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\modeling\modelingBehaviors\interactionOverviewDiagrams\text.md
2018-07-01T05:19:47.303Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\modeling\modelingBehaviors\communicationDiagrams\text.md
2018-07-01T05:19:47.303Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\modeling\modelingBehaviors\stateMachineDiagrams\text.md
2018-07-01T05:19:47.303Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\reuse\cloudComputing\what\text.md
2018-07-01T05:19:47.303Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\reuse\cloudComputing\path.md
2018-07-01T05:19:47.303Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\reuse\cloudComputing\services\text.md
2018-07-01T05:19:47.307Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week12\todo.md
2018-07-01T05:19:47.307Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\what\text.md
2018-07-01T05:19:47.307Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\path.md
2018-07-01T05:19:47.307Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\intellij\refactoring\text.md
2018-07-01T05:19:47.307Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\how\text.md
2018-07-01T05:19:47.307Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\when\text.md
2018-07-01T05:19:47.307Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\introduction\basic\text.md
2018-07-01T05:19:47.307Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\introduction\path.md
2018-07-01T05:19:47.307Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\introduction\text.md
2018-07-01T05:19:47.307Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\path.md
2018-07-01T05:19:47.307Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\basic\text.md
2018-07-01T05:19:47.307Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\intermediate\text.md
2018-07-01T05:19:47.311Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\introduction\text.md
2018-07-01T05:19:47.311Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\path.md
2018-07-01T05:19:47.311Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidLongMethods\text.md
2018-07-01T05:19:47.311Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\path.md
2018-07-01T05:19:47.311Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidDeepNesting\text.md
2018-07-01T05:19:47.311Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidComplicatedExpressions\text.md
2018-07-01T05:19:47.311Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidMagicNumbers\text.md
2018-07-01T05:19:47.311Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\makeCodeObvious\text.md
2018-07-01T05:19:47.311Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\intermediate\structureCodeLogically\text.md
2018-07-01T05:19:47.311Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\intermediate\path.md
2018-07-01T05:19:47.311Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\intermediate\dontTripReader\text.md
2018-07-01T05:19:47.315Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\intermediate\practiceKISSing\text.md
2018-07-01T05:19:47.315Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\intermediate\avoidPrematureOptimizations\text.md
2018-07-01T05:19:47.315Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\intermediate\slapHard\text.md
2018-07-01T05:19:47.315Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\designFundamentals\abstraction\what\text.md
2018-07-01T05:19:47.315Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\designFundamentals\abstraction\path.md
2018-07-01T05:19:47.315Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\advanced\makeHappyPathProminent\text.md
2018-07-01T05:19:47.315Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\advanced\path.md
2018-07-01T05:19:47.315Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\introduction\text.md
2018-07-01T05:19:47.315Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\path.md
2018-07-01T05:19:47.315Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\basic\nounsAndVerbsAsNames\text.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\basic\path.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\basic\useStandardWords\text.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\intermediate\useNameExplain\text.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\intermediate\path.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\intermediate\notTooLongNorShort\text.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\nameWell\intermediate\avoidMisleadingNames\text.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\introduction\text.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\path.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\basic\useDefaultBranch\text.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\basic\path.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\basic\dontRecycleVarsOrParams\text.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\basic\avoidEmptyCatchBlocks\text.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\basic\deleteDeadCode\text.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\intermediate\minimiseVariableScope\text.md
2018-07-01T05:19:47.319Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\intermediate\path.md
2018-07-01T05:19:47.323Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\intermediate\minimiseCodeDuplication\text.md
2018-07-01T05:19:47.323Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\principles\dryPrinciple\text.md
2018-07-01T05:19:47.323Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\principles\path.md
2018-07-01T05:19:47.323Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\introduction\text.md
2018-07-01T05:19:47.323Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\path.md
2018-07-01T05:19:47.323Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\basic\dontRepeatObvious\text.md
2018-07-01T05:19:47.323Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\basic\path.md
2018-07-01T05:19:47.323Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\basic\writeToReader\text.md
2018-07-01T05:19:47.323Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\intermediate\explainWhatWhyNotHow\text.md
2018-07-01T05:19:47.323Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\intermediate\path.md
2018-07-01T05:19:47.323Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\ides\debugging\what\text.md
2018-07-01T05:19:47.323Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\ides\debugging\path.md
2018-07-01T05:19:47.323Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\intellij\debuggingBasic\text.md
2018-07-01T05:19:47.327Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\intellij\productivityShortcuts\text.md
2018-07-01T05:19:47.327Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\remoteRepositories\text.md
2018-07-01T05:19:47.327Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\clone\text.md
2018-07-01T05:19:47.327Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\pull\text.md
2018-07-01T05:19:47.327Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\push\text.md
2018-07-01T05:19:47.327Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\usingHistory\text.md
2018-07-01T05:19:47.327Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\checkout\text.md
2018-07-01T05:19:47.327Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\tag\text.md
2018-07-01T05:19:47.327Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\stash\text.md
2018-07-01T05:19:47.996Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-scope.md
2018-07-01T05:19:47.996Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-testing.md
2018-07-01T05:19:47.996Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week13\outcomes.md
2018-07-01T05:19:47.996Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week13\todo.md
2018-07-01T05:19:47.996Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\tools.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week3\todo.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week3\tutorial.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week3\lecture.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\_markbind\footers\footer.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\index.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week1\tutorial.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week1\lecture.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\profilePhoto.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\participation.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\exams.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-assessment.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\index.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\exercises.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\q-essay-seVsCivilEngineering.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\q-essay-softwareVsBridges.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\q-essay-codingAsManufacturing.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\q-essay-listProsAndCons.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\q-tick-brooks.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\_markbind\boilerplates\embed.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\common\popOvers.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\common\references.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\ides.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\intellij.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\javaTools.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\testing.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\revisionControl.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\gitAndGithub.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\project.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\refactoring.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\codeQuality.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\ides\introduction\what\exercises.md
2018-07-01T05:19:48.000Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\ides\introduction\what\q-tick-ideFeatures.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\introduction\what\exercises.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\introduction\what\q-essay-relateConcepts.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testingTypes\regressionTesting\what\exercises.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testingTypes\regressionTesting\what\q-tick-definition.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testingTypes\regressionTesting\what\q-essay-explain.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testAutomation\what\resources.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\what\exercises.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\what\q-essay-rcs-definition.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\what\q-essay-revision-definition.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\what\q-tick-rcs-benefits.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\what\q-essay-rcs-explain.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\repositories\exercises.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\repositories\q-essay-repo-definition.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\init\sourcetree.md
2018-07-01T05:19:48.004Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\init\cli.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\sourcetree_1.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\cli_1.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\sourcetree_2.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\cli_2.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\sourcetree_3.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\cli_3.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\resources.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\ignore\sourcetree.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\ignore\cli.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\tutorial.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\lecture.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\reuse\cloudComputing\services\exercises.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\reuse\cloudComputing\services\q-tick-correctStatement.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week12\lecture.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\what\example-consolidate-java.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\what\example-consolidate-python.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\what\example-extract-java.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\what\example-extract-python.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\what\exercises.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\what\q-tick-refactoring.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\what\q-essay-refactoringAndRegressionTesting.md
2018-07-01T05:19:48.008Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\what\q-essay-explain.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\how\exercises.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\when\exercises.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\refactoring\when\q-tick-compare.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\introduction\exercises.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\introduction\q-essay-explain.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\introduction\q-tick-approach.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\intermediate\exercises.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\followStandard\intermediate\q-tick-naming.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\introduction\example-java.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\introduction\example-python.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidComplicatedExpressions\example-java.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidComplicatedExpressions\example-python.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidMagicNumbers\example-java.md
2018-07-01T05:19:48.012Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\maximiseReadability\basic\avoidMagicNumbers\example-python.md
