2018-06-21T03:17:02.466Z - info: Pages built
2018-06-21T03:17:02.713Z - info: Site data built
2018-06-21T03:17:02.759Z - info: Generate Site durationMs=103201
2018-06-21T03:17:03.267Z - info: Serving "C:\repos\nus-cs2103\website-base\_site" at http://127.0.0.1:8080
2018-06-21T04:21:45.524Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-testing.md
2018-06-21T04:21:45.524Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v10.md
2018-06-21T04:21:45.525Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v12.md
2018-06-21T04:21:45.525Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v11.md
2018-06-21T04:21:45.525Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v15.md
2018-06-21T04:21:45.525Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v15rc.md
2018-06-21T04:21:45.525Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project.md
2018-06-21T04:21:45.525Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v13.md
2018-06-21T04:21:45.525Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\projectPortfolioPage.md
2018-06-21T04:21:45.525Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\ratingSystem.md
2018-06-21T04:21:45.525Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\teams.md
2018-06-21T04:21:45.526Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v14.md
2018-06-21T04:21:45.526Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\supervision.md
2018-06-21T04:21:45.526Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\textbooks.md
2018-06-21T04:21:45.526Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\tools.md
2018-06-21T04:21:45.526Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\tutorials.md
2018-06-21T04:21:45.537Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\se-book-adapted\print.md
2018-06-21T04:21:45.537Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\index.md
2018-06-21T04:21:45.644Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\se-book-adapted\chapters\chapter-printable.md
2018-06-21T04:21:45.644Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\config\macros.md
2018-06-21T04:21:45.656Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\_markbind\footers\footer.md
2018-06-21T04:21:45.656Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\se-book-adapted\chapters\chapter.md
2018-06-21T04:21:45.669Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\overview\about.md
2018-06-21T04:21:45.669Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week10\index.md
2018-06-21T04:21:45.670Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week12\index.md
2018-06-21T04:21:45.670Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week1\lecture.md
2018-06-21T04:21:45.670Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week4\index.md
2018-06-21T04:21:45.670Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\index.md
2018-06-21T04:21:45.670Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week3\index.md
2018-06-21T04:21:45.670Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week6\index.md
2018-06-21T04:21:45.670Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week13\index.md
2018-06-21T04:21:45.671Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week11\index.md
2018-06-21T04:21:45.671Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week7\lecture.md
2018-06-21T04:21:45.671Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week8\lecture.md
2018-06-21T04:21:45.671Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week9\index.md
2018-06-21T04:21:45.671Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week5\2kloc.md
2018-06-21T04:21:45.711Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\overview\index.md
2018-06-21T04:21:45.711Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\overview\typicalWeek.md
2018-06-21T04:21:45.711Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\overview\tutorialSchedule.md
2018-06-21T04:21:45.711Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week10\lecture.md
2018-06-21T04:21:45.711Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week10\todo.md
2018-06-21T04:21:45.711Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week10\outcomes.md
2018-06-21T04:21:45.711Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week10\tutorial.md
2018-06-21T04:21:45.711Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week12\lecture.md
2018-06-21T04:21:45.712Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week12\outcomes.md
2018-06-21T04:21:45.712Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week12\todo.md
2018-06-21T04:21:45.712Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week1\index.md
2018-06-21T04:21:45.712Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week1\todo.md
2018-06-21T04:21:45.712Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week1\tutorial.md
2018-06-21T04:21:45.712Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week4\lecture.md
2018-06-21T04:21:45.712Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week4\outcomes.md
2018-06-21T04:21:45.712Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week4\todo.md
2018-06-21T04:21:45.713Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week4\submission.md
2018-06-21T04:21:45.713Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week4\tutorial.md
2018-06-21T04:21:45.713Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\lecture.md
2018-06-21T04:21:45.713Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\outcome-git.md
2018-06-21T04:21:45.713Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\outcome-ide.md
2018-06-21T04:21:45.713Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\outcomes.md
2018-06-21T04:21:45.713Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\outcome-testing.md
2018-06-21T04:21:45.713Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\todo.md
2018-06-21T04:21:45.713Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\tutorial.md
2018-06-21T04:21:45.714Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week3\lecture.md
2018-06-21T04:21:45.714Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week3\outcome-readability.md
2018-06-21T04:21:45.714Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week3\outcomes.md
2018-06-21T04:21:45.714Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week3\todo.md
2018-06-21T04:21:45.714Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week3\tutorial.md
2018-06-21T04:21:45.715Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week6\lecture.md
2018-06-21T04:21:45.715Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week6\outcomes.md
2018-06-21T04:21:45.715Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week6\submission.md
2018-06-21T04:21:45.715Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week6\todo.md
2018-06-21T04:21:45.715Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week6\tutorial.md
2018-06-21T04:21:45.716Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week13\outcomes.md
2018-06-21T04:21:45.716Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week13\todo.md
2018-06-21T04:21:45.716Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week11\lecture.md
2018-06-21T04:21:45.716Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week11\outcomes.md
2018-06-21T04:21:45.716Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week11\todo.md
2018-06-21T04:21:45.716Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week11\tutorial.md
2018-06-21T04:21:45.717Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week7\index.md
2018-06-21T04:21:45.717Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week7\tutorial.md
2018-06-21T04:21:45.717Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week7\outcomes.md
2018-06-21T04:21:45.717Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week7\todo.md
2018-06-21T04:21:45.717Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week8\index.md
2018-06-21T04:21:45.717Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week8\outcomes.md
2018-06-21T04:21:45.717Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week8\todo.md
2018-06-21T04:21:45.717Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week8\tutorial.md
2018-06-21T04:21:45.718Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week9\lecture.md
2018-06-21T04:21:45.718Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week9\outcomes.md
2018-06-21T04:21:45.718Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week9\tutorial.md
2018-06-21T04:21:45.718Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week9\todo.md
2018-06-21T04:21:45.718Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week5\index.md
2018-06-21T04:21:45.719Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week5\lecture.md
2018-06-21T04:21:45.719Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week5\submission.md
2018-06-21T04:21:45.719Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week5\outcomes.md
2018-06-21T04:21:45.719Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week5\todo.md
2018-06-21T04:21:46.544Z - verbose: Rebuild affected paths: C:\repos\nus-cs2103\website-base\admin\appendixB-policies.md,C:\repos\nus-cs2103\website-base\common\header.md,C:\repos\nus-cs2103\website-base\admin\appendixA-principles.md,C:\repos\nus-cs2103\website-base\admin\appendixC-faq.md,C:\repos\nus-cs2103\website-base\admin\appendixD-help.md,C:\repos\nus-cs2103\website-base\admin\appendixF-teamworkIssues.md,C:\repos\nus-cs2103\website-base\admin\appendixE-gitHub.md,C:\repos\nus-cs2103\website-base\admin\collate.md,C:\repos\nus-cs2103\website-base\admin\exams.md,C:\repos\nus-cs2103\website-base\admin\gradeBreakdown.md,C:\repos\nus-cs2103\website-base\admin\participation.md,C:\repos\nus-cs2103\website-base\admin\learningOutcomes.md,C:\repos\nus-cs2103\website-base\admin\lectures.md,C:\repos\nus-cs2103\website-base\admin\peer-evaluations.md,C:\repos\nus-cs2103\website-base\admin\profilePhoto.md,C:\repos\nus-cs2103\website-base\admin\preliminaries.md,C:\repos\nus-cs2103\website-base\admin\project-assessment.md,C:\repos\nus-cs2103\website-base\admin\programming-languages.md,C:\repos\nus-cs2103\website-base\admin\project-constraints.md,C:\repos\nus-cs2103\website-base\admin\project-deliverables.md,C:\repos\nus-cs2103\website-base\admin\project-scope.md,C:\repos\nus-cs2103\website-base\admin\project-product.md,C:\repos\nus-cs2103\website-base\admin\project-testing.md,C:\repos\nus-cs2103\website-base\admin\project-v10.md,C:\repos\nus-cs2103\website-base\admin\project-v12.md,C:\repos\nus-cs2103\website-base\admin\project-v11.md,C:\repos\nus-cs2103\website-base\admin\project-v15.md,C:\repos\nus-cs2103\website-base\admin\project-v15rc.md,C:\repos\nus-cs2103\website-base\admin\project.md,C:\repos\nus-cs2103\website-base\admin\project-v13.md,C:\repos\nus-cs2103\website-base\admin\projectPortfolioPage.md,C:\repos\nus-cs2103\website-base\admin\ratingSystem.md,C:\repos\nus-cs2103\website-base\admin\teams.md,C:\repos\nus-cs2103\website-base\admin\project-v14.md,C:\repos\nus-cs2103\website-base\admin\supervision.md,C:\repos\nus-cs2103\website-base\admin\textbooks.md,C:\repos\nus-cs2103\website-base\admin\tools.md,C:\repos\nus-cs2103\website-base\admin\tutorials.md,C:\repos\nus-cs2103\website-base\se-book-adapted\print.md,C:\repos\nus-cs2103\website-base\schedule\index.md,C:\repos\nus-cs2103\website-base\se-book-adapted\chapters\chapter-printable.md,C:\repos\nus-cs2103\website-base\schedule\config\macros.md,C:\repos\nus-cs2103\website-base\_markbind\footers\footer.md,C:\repos\nus-cs2103\website-base\se-book-adapted\chapters\chapter.md,C:\repos\nus-cs2103\website-base\schedule\overview\about.md,C:\repos\nus-cs2103\website-base\schedule\week10\index.md,C:\repos\nus-cs2103\website-base\schedule\week12\index.md,C:\repos\nus-cs2103\website-base\schedule\week1\lecture.md,C:\repos\nus-cs2103\website-base\schedule\week4\index.md,C:\repos\nus-cs2103\website-base\schedule\week2\index.md,C:\repos\nus-cs2103\website-base\schedule\week3\index.md,C:\repos\nus-cs2103\website-base\schedule\week6\index.md,C:\repos\nus-cs2103\website-base\schedule\week13\index.md,C:\repos\nus-cs2103\website-base\schedule\week11\index.md,C:\repos\nus-cs2103\website-base\schedule\week7\lecture.md,C:\repos\nus-cs2103\website-base\schedule\week8\lecture.md,C:\repos\nus-cs2103\website-base\schedule\week9\index.md,C:\repos\nus-cs2103\website-base\schedule\week5\2kloc.md,C:\repos\nus-cs2103\website-base\schedule\overview\index.md,C:\repos\nus-cs2103\website-base\schedule\overview\typicalWeek.md,C:\repos\nus-cs2103\website-base\schedule\overview\tutorialSchedule.md,C:\repos\nus-cs2103\website-base\schedule\week10\lecture.md,C:\repos\nus-cs2103\website-base\schedule\week10\todo.md,C:\repos\nus-cs2103\website-base\schedule\week10\outcomes.md,C:\repos\nus-cs2103\website-base\schedule\week10\tutorial.md,C:\repos\nus-cs2103\website-base\schedule\week12\lecture.md,C:\repos\nus-cs2103\website-base\schedule\week12\outcomes.md,C:\repos\nus-cs2103\website-base\schedule\week12\todo.md,C:\repos\nus-cs2103\website-base\schedule\week1\index.md,C:\repos\nus-cs2103\website-base\schedule\week1\todo.md,C:\repos\nus-cs2103\website-base\schedule\week1\tutorial.md,C:\repos\nus-cs2103\website-base\schedule\week4\lecture.md,C:\repos\nus-cs2103\website-base\schedule\week4\outcomes.md,C:\repos\nus-cs2103\website-base\schedule\week4\todo.md,C:\repos\nus-cs2103\website-base\schedule\week4\submission.md,C:\repos\nus-cs2103\website-base\schedule\week4\tutorial.md,C:\repos\nus-cs2103\website-base\schedule\week2\lecture.md,C:\repos\nus-cs2103\website-base\schedule\week2\outcome-git.md,C:\repos\nus-cs2103\website-base\schedule\week2\outcome-ide.md,C:\repos\nus-cs2103\website-base\schedule\week2\outcomes.md,C:\repos\nus-cs2103\website-base\schedule\week2\outcome-testing.md,C:\repos\nus-cs2103\website-base\schedule\week2\todo.md,C:\repos\nus-cs2103\website-base\schedule\week2\tutorial.md,C:\repos\nus-cs2103\website-base\schedule\week3\lecture.md,C:\repos\nus-cs2103\website-base\schedule\week3\outcome-readability.md,C:\repos\nus-cs2103\website-base\schedule\week3\outcomes.md,C:\repos\nus-cs2103\website-base\schedule\week3\todo.md,C:\repos\nus-cs2103\website-base\schedule\week3\tutorial.md,C:\repos\nus-cs2103\website-base\schedule\week6\lecture.md,C:\repos\nus-cs2103\website-base\schedule\week6\outcomes.md,C:\repos\nus-cs2103\website-base\schedule\week6\submission.md,C:\repos\nus-cs2103\website-base\schedule\week6\todo.md,C:\repos\nus-cs2103\website-base\schedule\week6\tutorial.md,C:\repos\nus-cs2103\website-base\schedule\week13\outcomes.md,C:\repos\nus-cs2103\website-base\schedule\week13\todo.md,C:\repos\nus-cs2103\website-base\schedule\week11\lecture.md,C:\repos\nus-cs2103\website-base\schedule\week11\outcomes.md,C:\repos\nus-cs2103\website-base\schedule\week11\todo.md,C:\repos\nus-cs2103\website-base\schedule\week11\tutorial.md,C:\repos\nus-cs2103\website-base\schedule\week7\index.md,C:\repos\nus-cs2103\website-base\schedule\week7\tutorial.md,C:\repos\nus-cs2103\website-base\schedule\week7\outcomes.md,C:\repos\nus-cs2103\website-base\schedule\week7\todo.md,C:\repos\nus-cs2103\website-base\schedule\week8\index.md,C:\repos\nus-cs2103\website-base\schedule\week8\outcomes.md,C:\repos\nus-cs2103\website-base\schedule\week8\todo.md,C:\repos\nus-cs2103\website-base\schedule\week8\tutorial.md,C:\repos\nus-cs2103\website-base\schedule\week9\lecture.md,C:\repos\nus-cs2103\website-base\schedule\week9\outcomes.md,C:\repos\nus-cs2103\website-base\schedule\week9\tutorial.md,C:\repos\nus-cs2103\website-base\schedule\week9\todo.md,C:\repos\nus-cs2103\website-base\schedule\week5\index.md,C:\repos\nus-cs2103\website-base\schedule\week5\lecture.md,C:\repos\nus-cs2103\website-base\schedule\week5\submission.md,C:\repos\nus-cs2103\website-base\schedule\week5\outcomes.md,C:\repos\nus-cs2103\website-base\schedule\week5\todo.md
2018-06-21T04:21:46.585Z - info: Rebuilding 123 pages
2018-06-21T04:21:56.546Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixA-principles.md
2018-06-21T04:22:00.584Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\index.md
2018-06-21T04:22:00.585Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\index.md
2018-06-21T04:22:00.585Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\overview\index.md
2018-06-21T04:22:00.585Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week10\index.md
2018-06-21T04:22:00.585Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week1\index.md
2018-06-21T04:22:00.585Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week12\index.md
2018-06-21T04:22:00.585Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week11\index.md
2018-06-21T04:22:00.585Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\index.md
2018-06-21T04:22:00.585Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week4\index.md
2018-06-21T04:22:00.585Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week13\index.md
2018-06-21T04:22:00.586Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week5\index.md
2018-06-21T04:22:00.586Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week7\index.md
2018-06-21T04:22:00.586Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week3\index.md
2018-06-21T04:22:00.586Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week8\index.md
2018-06-21T04:22:00.590Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week6\index.md
2018-06-21T04:22:00.590Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week9\index.md
2018-06-21T04:22:00.590Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\se-book-adapted\chapters\chapter.md
2018-06-21T04:22:00.590Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\se-book-adapted\common\definitions.md
2018-06-21T04:22:00.590Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\se-book-adapted\index.md
2018-06-21T04:22:00.591Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\_markbind\boilerplates\unit-inElsewhere-asFlat.md
2018-06-21T04:22:00.591Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixD-help.md
2018-06-21T04:22:00.591Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixB-policies.md
2018-06-21T04:22:00.591Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixE-gitHub.md
2018-06-21T04:22:00.591Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixC-faq.md
2018-06-21T04:22:00.591Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\gradeBreakdown.md
2018-06-21T04:22:00.592Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixF-teamworkIssues.md
2018-06-21T04:22:00.592Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\collate.md
2018-06-21T04:22:00.592Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\exams.md
2018-06-21T04:22:00.592Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\lectures.md
2018-06-21T04:22:00.592Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\learningOutcomes.md
2018-06-21T04:22:00.592Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\programming-languages.md
2018-06-21T04:22:00.592Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\preliminaries.md
2018-06-21T04:22:00.592Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\index.md
2018-06-21T04:22:00.593Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\participation.md
2018-06-21T04:22:00.593Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\peer-evaluations.md
2018-06-21T04:22:00.593Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\profilePhoto.md
2018-06-21T04:22:00.593Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-assessment.md
2018-06-21T04:22:00.593Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-product.md
2018-06-21T04:22:00.593Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-deliverables.md
2018-06-21T04:22:00.593Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-constraints.md
2018-06-21T04:22:00.593Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-testing.md
2018-06-21T04:22:00.593Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v10.md
2018-06-21T04:22:00.593Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-scope.md
2018-06-21T04:22:00.593Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v11.md
2018-06-21T04:22:00.594Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project.md
2018-06-21T04:22:00.594Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v12.md
2018-06-21T04:22:00.594Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v13.md
2018-06-21T04:22:00.594Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v14.md
2018-06-21T04:22:00.594Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v15rc.md
2018-06-21T04:22:00.594Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\supervision.md
2018-06-21T04:22:00.594Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\projectPortfolioPage.md
2018-06-21T04:22:00.594Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\ratingSystem.md
2018-06-21T04:22:00.594Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\textbooks.md
2018-06-21T04:22:00.594Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\teams.md
2018-06-21T04:22:00.595Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\tutorials.md
2018-06-21T04:22:00.595Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-v15.md
2018-06-21T04:22:00.595Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\tools.md
2018-06-21T04:22:00.595Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\common\header.md
2018-06-21T04:22:00.595Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gatheringRequirements\brainstorming\text.md
2018-06-21T04:22:00.595Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gatheringRequirements\path.md
